Type	Label
DATA	>UniRef50_UPI001D04E48D uncharacterized protein n=1 Tax=Bacidia gigantensis TaxID=2732470 RepID=UPI001D04E48D
DATA	>UniRef50_A0AC34QEZ9 Uncharacterized protein n=1 Tax=Panagrolaimus sp. JU765 TaxID=591449 RepID=A0AC34QEZ9_9BILA
DATA	>UniRef50_A0A5J4UEF6 Uncharacterized protein (Fragment) n=1 Tax=Streblomastix strix TaxID=222440 RepID=A0A5J4UEF6_9EUKA
DATA	>UniRef50_A0A219B5E6 PRC-barrel protein n=9 Tax=Pseudomonadota TaxID=1224 RepID=A0A219B5E6_9SPHN
DATA	>UniRef50_A0A7S2P254 Uncharacterized protein (Fragment) n=1 Tax=Zooxanthella nutricula TaxID=1333877 RepID=A0A7S2P254_9DINO
DATA	>UniRef50_A0A7S0QJC4 Uncharacterized protein (Fragment) n=1 Tax=Cryptomonas curvata TaxID=233186 RepID=A0A7S0QJC4_9CRYP
DATA	>UniRef50_D5BTK5 DNA (cytosine-5-)-methyltransferase n=1 Tax=Puniceispirillum marinum (strain IMCC1322) TaxID=488538 RepID=D5BTK5_PUNMI
DATA	>UniRef50_A0A7C9ERV8 Receptor protein serine/threonine kinase (Fragment) n=4 Tax=Pentapetalae TaxID=1437201 RepID=A0A7C9ERV8_OPUST
DATA	>UniRef50_A0A3B4AGM8 CTCK domain-containing protein n=2 Tax=Periophthalmus magnuspinnatus TaxID=409849 RepID=A0A3B4AGM8_9GOBI
DATA	>UniRef50_X1V0M5 Peptidase M20 dimerisation domain-containing protein (Fragment) n=1 Tax=marine sediment metagenome TaxID=412755 RepID=X1V0M5_9ZZZZ
DATA	>UniRef50_A0A834R7S3 Transforming acidic coiled-coil-containing protein 1 n=2 Tax=Sarcoptes scabiei TaxID=52283 RepID=A0A834R7S3_SARSC
DATA	>UniRef50_UPI003CC64E15 HelD family protein n=1 Tax=Streptomyces bobili TaxID=67280 RepID=UPI003CC64E15
DATA	>UniRef50_A0A7S3BPM5 Uncharacterized protein (Fragment) n=1 Tax=Prasinoderma singulare TaxID=676789 RepID=A0A7S3BPM5_9VIRI
DATA	>UniRef50_A0AAW2KEW8 Transcription factor EGL1 (Fragment) n=1 Tax=Sesamum angustifolium TaxID=2727405 RepID=A0AAW2KEW8_9LAMI
DATA	>UniRef50_A0A7S1VPS3 Uncharacterized protein (Fragment) n=1 Tax=Grammatophora oceanica TaxID=210454 RepID=A0A7S1VPS3_9STRA
DATA	>UniRef50_A0A7S2W138 P-type ATPase C-terminal domain-containing protein (Fragment) n=1 Tax=Rhizochromulina marina TaxID=1034831 RepID=A0A7S2W138_9STRA
DATA	>UniRef50_UPI0018E54336 hypothetical protein n=1 Tax=Staphylococcus equorum TaxID=246432 RepID=UPI0018E54336
DATA	>UniRef50_A0A6G5AGS1 Putative tick transposon (Fragment) n=2 Tax=Rhipicephalus TaxID=34630 RepID=A0A6G5AGS1_RHIMP
DATA	>UniRef50_A0A7S0ERR3 Uncharacterized protein (Fragment) n=1 Tax=Hanusia phi TaxID=3032 RepID=A0A7S0ERR3_9CRYP
DATA	>UniRef50_H2E5E5 Histone H3 (Fragment) n=1 Tax=Zephyrarchaea mainae TaxID=1585564 RepID=H2E5E5_9ARAC
DATA	>UniRef50_A0AA88UG23 Ribosomal protein L34 (Fragment) n=1 Tax=Escallonia rubra TaxID=112253 RepID=A0AA88UG23_9ASTE
DATA	>UniRef50_UPI000FB8E65F Rib/alpha-like domain-containing protein n=1 Tax=Corynebacterium propinquum TaxID=43769 RepID=UPI000FB8E65F
DATA	>UniRef50_A0A820JGL3 Uncharacterized protein (Fragment) n=2 Tax=Adineta steineri TaxID=433720 RepID=A0A820JGL3_9BILA
DATA	>UniRef50_UPI0024A8554F hypothetical protein n=1 Tax=Gulosibacter sediminis TaxID=1729695 RepID=UPI0024A8554F
DATA	>UniRef50_A0AA38LDE2 Peptide transporter (Fragment) n=3 Tax=Spermatophyta TaxID=58024 RepID=A0AA38LDE2_TAXCH
DATA	>UniRef50_UPI001AEE96B1 hypothetical protein n=1 Tax=Mesorhizobium sp. M4B.F.Ca.ET.214.01.1.1 TaxID=2563955 RepID=UPI001AEE96B1
DATA	>UniRef50_A0A7S4V369 Alpha-galactosidase (Fragment) n=1 Tax=Alexandrium monilatum TaxID=311494 RepID=A0A7S4V369_9DINO
DATA	>UniRef50_A0A6J4JSN6 Uncharacterized protein (Fragment) n=1 Tax=uncultured Craurococcus sp. TaxID=1135998 RepID=A0A6J4JSN6_9PROT
DATA	>UniRef50_M4IT60 Pistillata (Fragment) n=7 Tax=Pentapetalae TaxID=1437201 RepID=M4IT60_COROF
DATA	>UniRef50_UPI00307C980F glycoside hydrolase family 19 protein n=1 Tax=Rodentibacter pneumotropicus TaxID=758 RepID=UPI00307C980F
DATA	>UniRef50_G4XTG5 Variant surface antigen (Fragment) n=7 Tax=Plasmodium chabaudi chabaudi TaxID=31271 RepID=G4XTG5_PLACU
DATA	>UniRef50_A0A7S3LPD7 Vacuolar protein sorting-associated protein 13 DH-like domain-containing protein (Fragment) n=1 Tax=Aplanochytrium stocchinoi TaxID=215587 RepID=A0A7S3LPD7_9STRA
DATA	>UniRef50_UPI0009934ADE hypothetical protein n=1 Tax=Enterobacter kobei TaxID=208224 RepID=UPI0009934ADE
DATA	>UniRef50_A0A7S1ZZR8 Alcohol-forming fatty acyl-CoA reductase (Fragment) n=2 Tax=Eupodiscales TaxID=33838 RepID=A0A7S1ZZR8_TRICV
DATA	>UniRef50_A0ABS8TKA9 Uncharacterized protein (Fragment) n=2 Tax=Datura stramonium TaxID=4076 RepID=A0ABS8TKA9_DATST
DATA	>UniRef50_A0A7S2JHV1 CSD domain-containing protein (Fragment) n=4 Tax=Zooxanthella nutricula TaxID=1333877 RepID=A0A7S2JHV1_9DINO
DATA	>UniRef50_UPI001F2521CC hypothetical protein n=1 Tax=Streptomyces malaysiensis TaxID=92644 RepID=UPI001F2521CC
DATA	>UniRef50_A0A7S1YRC2 Selenoprotein O (Fragment) n=1 Tax=Ditylum brightwellii TaxID=49249 RepID=A0A7S1YRC2_9STRA
DATA	>UniRef50_UPI002D6BB22F hypothetical protein n=1 Tax=Phenylobacterium sp. TaxID=1871053 RepID=UPI002D6BB22F
DATA	>UniRef50_UPI003AB0F570 tyrosine-type recombinase/integrase n=2 Tax=Ruthenibacterium lactatiformans TaxID=1550024 RepID=UPI003AB0F570
DATA	>UniRef50_UPI0035A38D36 MFS transporter n=1 Tax=Enterobacter hormaechei TaxID=158836 RepID=UPI0035A38D36
DATA	>UniRef50_A0A7C8Z6L5 CCT domain-containing protein (Fragment) n=1 Tax=Opuntia streptacantha TaxID=393608 RepID=A0A7C8Z6L5_OPUST
DATA	>UniRef50_A0AA38GUI1 Uncharacterized protein (Fragment) n=1 Tax=Taxus chinensis TaxID=29808 RepID=A0AA38GUI1_TAXCH
DATA	>UniRef50_A0AAW2Z489 LeuA (Fragment) n=1 Tax=Acrasis kona TaxID=1008807 RepID=A0AAW2Z489_9EUKA
DATA	>UniRef50_A0A9W4W588 Uncharacterized protein (Fragment) n=1 Tax=Colletotrichum noveboracense TaxID=2664923 RepID=A0A9W4W588_9PEZI
DATA	>UniRef50_A0ABP0FSX1 Uncharacterized protein (Fragment) n=1 Tax=Clavelina lepadiformis TaxID=159417 RepID=A0ABP0FSX1_CLALP
DATA	>UniRef50_A0A3Q2E972 Ig-like domain-containing protein n=7 Tax=Cyprinodontoidei TaxID=8087 RepID=A0A3Q2E972_CYPVA
DATA	>UniRef50_A0A8C5N6T8 Uncharacterized protein n=1 Tax=Gouania willdenowi TaxID=441366 RepID=A0A8C5N6T8_GOUWI
DATA	>UniRef50_A0ABV0S1A0 HMG box domain-containing protein (Fragment) n=1 Tax=Xenoophorus captivus TaxID=1517983 RepID=A0ABV0S1A0_9TELE
DATA	>UniRef50_A0A7S4A8Q1 Uncharacterized protein (Fragment) n=1 Tax=Pelagomonas calceolata TaxID=35677 RepID=A0A7S4A8Q1_9STRA
DATA	>UniRef50_A0A5C3NWM0 Uncharacterized protein (Fragment) n=1 Tax=Polyporus arcularius HHB13444 TaxID=1314778 RepID=A0A5C3NWM0_9APHY
DATA	>UniRef50_X1N0S9 Anthranilate synthase component I N-terminal domain-containing protein (Fragment) n=2 Tax=marine sediment metagenome TaxID=412755 RepID=X1N0S9_9ZZZZ
DATA	>UniRef50_A0A2P5A3N3 Uncharacterized protein (Fragment) n=2 Tax=Cannabaceae TaxID=3481 RepID=A0A2P5A3N3_TREOI
DATA	>UniRef50_A0A7S0XNT7 Uncharacterized protein (Fragment) n=1 Tax=Erythrolobus madagascarensis TaxID=708628 RepID=A0A7S0XNT7_9RHOD
DATA	>UniRef50_UPI001B7D5593 hypothetical protein n=2 Tax=Actinomycetospora sp. TBRC 11914 TaxID=2729387 RepID=UPI001B7D5593
DATA	>UniRef50_A0ABN7WI82 46412_t:CDS:1 (Fragment) n=1 Tax=Gigaspora margarita TaxID=4874 RepID=A0ABN7WI82_GIGMA
DATA	>UniRef50_A0A146LWA4 DNAation factor subunit beta (Fragment) n=4 Tax=Miridae TaxID=30083 RepID=A0A146LWA4_LYGHE
DATA	>UniRef50_UPI00167BB41B hypothetical protein n=1 Tax=Mesorhizobium sp. M2D.F.Ca.ET.206.01.1.1 TaxID=2563939 RepID=UPI00167BB41B
